date,serial_number,model,failure,smart_7_raw,smart_9_raw,smart_240_raw,smart_241_raw,smart_242_raw,smart_7_norm,smart_9_norm,smart_240_norm,smart_241_norm,smart_242_norm
2020-05-10,S300VLG3,ST4000DM000,0,1602114463355.0,42209.0,42023.0,63022489616.0,135596341008.0,1.407139663764073,1.4601859718641035,1.459727203049257,1.3274180328741445,1.4515379310403023
2020-05-11,S300VLG3,ST4000DM000,0,1636474943541.0,42233.0,42048.0,63027334384.0,135621340560.0,1.5047323241174904,1.5165810613699608,1.5184768793483812,1.344803590809306,1.4947176996000793
2020-05-12,S300VLG3,ST4000DM000,0,1662245682746.0,42258.0,42072.0,63033496944.0,135648705091.0,1.5779278960267213,1.5753259462718958,1.5748765685955404,1.3669180747038716,1.5419823111949928
2020-05-13,S300VLG3,ST4000DM000,0,1662246408701.0,42284.0,42098.0,63033496992.0,135663772954.0,1.5779299579268857,1.6364206265699082,1.6359762319466298,1.3669182469529413,1.5680078510538844
2020-05-14,S300VLG3,ST4000DM000,1,1662247531290.0,42309.0,42123.0,63033543424.0,135690294004.0,1.5779331463703068,1.6951655114718431,1.694725908245754,1.3670848692196929,1.6138155839669492
2019-12-07,S300XBD8,ST4000DM000,0,975138716.0,38179.0,37917.0,57741757816.0,195586824843.0,1.7842397839237667,-1.6980037932830274,-1.696864410766063,-1.6976252794486641,-1.7453049571445634
2019-12-08,S300XBD8,ST4000DM000,0,977397429.0,38203.0,37941.0,57765009784.0,195827444149.0,1.7898737631302521,-1.6418803075546649,-1.6407456428947027,-1.6479485230564805,-1.7078679272853636
2019-12-09,S300XBD8,ST4000DM000,0,979286026.0,38227.0,37965.0,57789431584.0,196137229682.0,1.7945845503030495,-1.5857568218263025,-1.5846268750233423,-1.5957724745921684,-1.6596695909105215
2019-12-10,S300XBD8,ST4000DM000,0,981403755.0,38251.0,37989.0,57815924312.0,196338441635.0,1.7998668686635366,-1.52963333609794,-1.5285081071519817,-1.5391719840435671,-1.628363799128008
2019-12-11,S300XBD8,ST4000DM000,0,983612349.0,38275.0,38012.0,57840993680.0,196593018115.0,1.8053758344646669,-1.4735098503695774,-1.4747276212752614,-1.4856124364370158,-1.5887552263927431
2019-12-12,S300XBD8,ST4000DM000,0,985006283.0,38299.0,38036.0,57868082192.0,196873244394.0,1.8088527680862527,-1.417386364641215,-1.418608853403901,-1.4277390808719839,-1.5451559003509023
2019-12-13,S300XBD8,ST4000DM000,0,986367994.0,38322.0,38060.0,57894580840.0,197110255632.0,1.8122493268607593,-1.3636013574848675,-1.3624900855325404,-1.3711259425166316,-1.5082802358771137
2019-12-14,S300XBD8,ST4000DM000,0,987530491.0,38346.0,38084.0,57921735000.0,197407158245.0,1.8151489798603222,-1.307477871756505,-1.30637131766118,-1.3131123330297108,-1.462086303341395
2019-12-15,S300XBD8,ST4000DM000,0,989711523.0,38370.0,38108.0,57949491480.0,197747563656.0,1.8205891968939512,-1.2513543860281426,-1.2502525497898196,-1.2538118946640415,-1.409123938235745
2019-12-16,S300XBD8,ST4000DM000,0,991364639.0,38394.0,38132.0,57983228968.0,198087744360.0,1.8247126163677436,-1.19523090029978,-1.1941337819184592,-1.1817333087714315,-1.3561965344256302
2019-12-17,S300XBD8,ST4000DM000,0,993248013.0,38418.0,38156.0,58014067504.0,198285442867.0,1.8294103756466051,-1.1391074145714175,-1.1380150140470986,-1.1158482000200522,-1.3254373861564626
2019-12-18,S300XBD8,ST4000DM000,0,995517551.0,38442.0,38180.0,58044980200.0,198567228092.0,1.835071355992638,-1.0829839288430552,-1.0818962461757382,-1.0498046518516724,-1.2815955097186411
2019-12-19,S300XBD8,ST4000DM000,0,996828984.0,38466.0,38204.0,58080083192.0,198840204101.0,1.8383425047630655,-1.0268604431146926,-1.0257774783043778,-0.9748087296905558,-1.239124225225043
2019-12-20,S300XBD8,ST4000DM000,0,999137764.0,38502.0,38240.0,58121227944.0,199203619987.0,1.8441013676696627,-0.9426752145221489,-0.941599326497337,-0.8869048661586254,-1.1825817490552815
2019-12-21,S300XBD8,ST4000DM000,0,1031518.0,38526.0,38264.0,58152756408.0,199473814557.0,-0.6455065797885436,-0.8865517287937864,-0.8854805586259766,-0.8195457580802153,-1.1405432179289237
2019-12-22,S300XBD8,ST4000DM000,0,3534331.0,38550.0,38288.0,58194436648.0,199784045112.0,-0.6392637342390112,-0.8304282430654238,-0.8293617907546161,-0.7304978491527754,-1.0922756422973527
2019-12-23,S300XBD8,ST4000DM000,0,5140740.0,38574.0,38312.0,58227887424.0,200047651686.0,-0.6352568175111617,-0.7743047573370614,-0.7732430228832557,-0.6590318102144151,-1.0512621120616727
2019-12-24,S300XBD8,ST4000DM000,0,6956166.0,38598.0,38336.0,58258355088.0,204491737168.0,-0.6307285430757142,-0.7181812716086989,-0.7171242550118953,-0.5939390523727175,-0.35982399077280963
2019-12-25,S300XBD8,ST4000DM000,0,8783999.0,38622.0,38359.0,58278443432.0,204783310422.0,-0.6261693214681316,-0.6620577858803364,-0.6633437691351748,-0.5510212326333137,-0.31445923265094045
2019-12-26,S300XBD8,ST4000DM000,0,11075275.0,38646.0,38383.0,58291045208.0,205051429623.0,-0.6204541193418238,-0.6059343001519739,-0.6072250012638144,-0.5240981198688,-0.27274360018352
2019-12-27,S300XBD8,ST4000DM000,0,13648540.0,38670.0,38407.0,58303747808.0,205294924677.0,-0.6140355431425562,-0.5498108144236115,-0.5511062333924539,-0.49695960128201394,-0.23485914378347764
2019-12-28,S300XBD8,ST4000DM000,0,15379569.0,38694.0,38431.0,58317311000.0,205527885844.0,-0.6097177828109765,-0.4936873286952489,-0.49498746552109346,-0.4679824676095259,-0.19861361423726154
2019-12-29,S300XBD8,ST4000DM000,0,16914251.0,38718.0,38455.0,58336477984.0,205830333099.0,-0.6058897770056496,-0.43756384296688644,-0.43886869764973296,-0.427033090982959,-0.1515570122359741
2019-12-30,S300XBD8,ST4000DM000,0,17990717.0,38742.0,38479.0,58355702200.0,206158991623.0,-0.6032047138477856,-0.38144035723852393,-0.3827499297783725,-0.38596144083004635,-0.10042229997615021
2019-12-31,S300XBD8,ST4000DM000,0,19617831.0,38766.0,38503.0,58373095408.0,206348971810.0,-0.5991461519842017,-0.3253168715101614,-0.3266311619070121,-0.34880165475539754,-0.07086401534966495
2020-01-01,S300XBD8,ST4000DM000,0,21545468.0,38790.0,38527.0,58396967608.0,206686833735.0,-0.5943379861058223,-0.26919338578179897,-0.27051239403565164,-0.29779980132322836,-0.01829738142166376
2020-01-02,S300XBD8,ST4000DM000,0,23582884.0,38814.0,38551.0,58410289272.0,206995554693.0,-0.5892559949989573,-0.21306990005343646,-0.21439362616429117,-0.26933868107454567,0.029735321834519463
2020-01-03,S300XBD8,ST4000DM000,0,25273959.0,38838.0,38575.0,58430666848.0,207290932990.0,-0.5850378931920401,-0.15694641432507397,-0.15827485829293073,-0.2258029305172075,0.07569209192240496
2020-01-04,S300XBD8,ST4000DM000,0,27192234.0,38862.0,38599.0,58453569120.0,207547117485.0,-0.5802530792460803,-0.10082292859671148,-0.10215609042157027,-0.17687328348812467,0.11555084951012323
2020-01-05,S300XBD8,ST4000DM000,0,29252377.0,38886.0,38623.0,58476476136.0,207847525449.0,-0.5751143994649898,-0.04469944286834898,-0.046037322550209814,-0.1279335011220104,0.16229016608935648
2020-01-06,S300XBD8,ST4000DM000,0,30927931.0,38910.0,38647.0,58502712336.0,208131516840.0,-0.5709350121788036,0.011424042860013512,0.010081445321150637,-0.07188107080486007,0.20647529138691956
2020-01-07,S300XBD8,ST4000DM000,0,32576566.0,38934.0,38671.0,58529014032.0,208276974154.0,-0.5668227698049013,0.06754752858837601,0.06620021319251108,-0.015688711306805048,0.22910643390819752
2020-01-08,S300XBD8,ST4000DM000,0,34639137.0,38958.0,38695.0,58576653904.0,208600088202.0,-0.561678033786691,0.12367101431673849,0.12231898106387154,0.0860916763102264,0.2793785025297523
2020-01-09,S300XBD8,ST4000DM000,0,35502803.0,38981.0,38719.0,58605992576.0,208839253180.0,-0.55952376439286,0.1774560214730859,0.178437748935232,0.14877239485474616,0.3165892591041265
2020-01-10,S300XBD8,ST4000DM000,0,37784656.0,39005.0,38743.0,58627220512.0,209101894559.0,-0.5538320663531993,0.23357950720144838,0.23455651680659245,0.19412490030206425,0.35745261837208314
2020-01-11,S300XBD8,ST4000DM000,0,40165587.0,39030.0,38767.0,58648941400.0,209369341264.0,-0.5478932349274819,0.29204147150182597,0.2906752846779529,0.2405305749442238,0.3990636197803807
2020-01-12,S300XBD8,ST4000DM000,0,41595088.0,39042.0,38779.0,58654186320.0,209511248065.0,-0.5443275854139535,0.3201032143660072,0.31873466861363314,0.251736104434738,0.42114235167673364
2020-01-13,S300XBD8,ST4000DM000,0,42966220.0,39066.0,38803.0,58680114352.0,209762159532.0,-0.540907527541463,0.3762267000943697,0.3748534364849936,0.30713014804398187,0.460180699173649
2020-01-14,S300XBD8,ST4000DM000,0,44339412.0,39090.0,38827.0,58704079536.0,209934474260.0,-0.5374823313458809,0.4323501858227322,0.430972204356354,0.3583306575002936,0.48699048316212035
2020-01-15,S300XBD8,ST4000DM000,0,45609208.0,39114.0,38851.0,58734512128.0,210217683471.0,-0.534315039060195,0.48847367155109467,0.48709097222771447,0.4233484856328077,0.5310539120900027
2020-01-16,S300XBD8,ST4000DM000,0,46610549.0,39138.0,38875.0,58759643016.0,210527758308.0,-0.5318173625636231,0.5445971572794572,0.543209740099075,0.4770394678797836,0.5792972601584886
2020-01-17,S300XBD8,ST4000DM000,0,48371937.0,39162.0,38899.0,58789142448.0,210882003675.0,-0.5274238768190629,0.6007206430078197,0.5993285079704354,0.5400636427441128,0.6344129306436415
2020-01-18,S300XBD8,ST4000DM000,0,50566412.0,39186.0,38924.0,58819568808.0,211198280668.0,-0.5219501284857634,0.6568441287361821,0.6577855578364359,0.605068156496277,0.6836212482452179
2020-01-19,S300XBD8,ST4000DM000,0,53124120.0,39210.0,38948.0,58841762160.0,211515875802.0,-0.5155703566031642,0.7129676144645447,0.7139043257077963,0.6524832286669415,0.7330346503215024
2020-01-20,S300XBD8,ST4000DM000,0,54907909.0,39234.0,38972.0,58867791680.0,211786480440.0,-0.5111209953364795,0.7690911001929072,0.7700230935791568,0.7080940967038093,0.775136982346531
2020-01-21,S300XBD8,ST4000DM000,0,56431654.0,39258.0,38995.0,58891868584.0,211952256053.0,-0.5073202700358388,0.8252145859212696,0.8238035794558772,0.7595332907834671,0.8009293706506021
2020-01-22,S300XBD8,ST4000DM000,0,59042476.0,39294.0,39031.0,58934170928.0,212348839170.0,-0.5008080142247487,0.9093998145138134,0.9079817312629179,0.8499102961924868,0.8626322083804371
2020-01-23,S300XBD8,ST4000DM000,0,60141545.0,39317.0,39055.0,58964241896.0,212587138002.0,-0.4980665716897774,0.9631848216701607,0.9641004991342783,0.9141555313404601,0.89970820463901
2020-01-24,S300XBD8,ST4000DM000,0,63079121.0,39341.0,39079.0,58994446152.0,212893249038.0,-0.4907392830517475,1.0193083073985232,1.0202192670056387,0.9786855301482664,0.9473348401965184
